Date,BTC,ETH,XRP,USDT,BSV,BCH,LTC,EOS,BNB,ADA,BTCTOMORROW
43413,6385.62,210.07,0.5,0.99,68.75,544.42,51.9,5.38,9.55,0.07,6409.22
43414,6409.22,212.53,0.51,1,87.06,556.5,52.4,5.42,9.56,0.08,6411.27
43415,6411.27,211.34,0.51,0.99,113.47,533.34,51.36,5.44,9.47,0.08,6371.27
43416,6371.27,210.42,0.52,0.99,112.06,516.31,50.65,5.4,9.36,0.08,6359.49
43417,6359.49,206.83,0.51,0.99,208.4,512.41,49.7,5.23,9.25,0.07,5738.35
43418,5738.35,181.4,0.47,0.97,174.81,439.31,43.61,4.64,8.41,0.06,5648.03
43419,5648.03,180.81,0.48,0.98,93.7,421.32,43.95,4.69,8.18,0.06,5575.55
43420,5575.55,175.18,0.47,0.99,122.97,388.82,42.46,4.55,7.88,0.06,5554.33
43421,5554.33,174,0.49,0.99,130.48,387.75,41.93,4.57,7.72,0.06,5623.54
43422,5623.54,177.07,0.51,0.99,106.22,386.25,42.33,4.59,8,0.06,4871.49
43423,4871.49,149.18,0.48,0.98,72.11,336.96,36.64,4.08,6.63,0.05,4451.87
43424,4451.87,130.34,0.43,0.97,50.66,223.7,33.04,3.71,5.76,0.04,4602.17
43425,4602.17,136.7,0.45,0.99,50.75,235.95,34.67,3.81,6.2,0.05,4365.94
43426,4365.94,126.71,0.43,1,42.75,211.47,32.2,3.55,5.76,0.04,4347.11
43427,4347.11,123.3,0.41,0.98,54.03,207.43,32.16,3.6,5.56,0.04,3880.76
43428,3880.76,113.49,0.38,0.98,58.5,180.69,29.22,3.26,5.12,0.04,4009.97
43429,4009.97,116.45,0.37,0.98,87.38,184.58,30.89,3.35,5.18,0.04,3779.13
43430,3779.13,108.34,0.36,0.98,111.7,182.04,29.41,3.18,4.93,0.04,3820.72
43431,3820.72,110.01,0.36,0.98,91.94,179.06,31.07,3.03,4.91,0.04,4257.42
43432,4257.42,122.44,0.39,1,97.94,190.07,34.63,3.28,5.34,0.04,4278.85
43433,4278.85,117.54,0.38,1,98.07,180.98,33.8,3.02,5.35,0.04,4017.27
43434,4017.27,113.17,0.36,0.99,95.28,173.07,32.06,2.88,5.08,0.04,4214.67
43435,4214.67,118.64,0.37,1,93.54,172.12,34.34,2.96,5.29,0.04,4139.88
43436,4139.88,116.39,0.37,1,100.37,172.11,33.71,2.85,5.25,0.04,3894.13
43437,3894.13,108.93,0.35,1,94.46,159.82,31.07,2.59,5.11,0.04,3956.89
43438,3956.89,110.21,0.35,1,90.18,149.66,31.19,2.46,5.88,0.04,3753.99
43439,3753.99,102.48,0.34,0.99,86.31,130.54,29.3,2.2,5.98,0.03,3521.1
43440,3521.1,91.76,0.31,1,103.69,107.59,26.94,1.87,4.95,0.03,3419.94
43441,3419.94,93.29,0.3,1,103.88,106.85,25.27,1.74,4.53,0.03,3476.11
43442,3476.11,92.16,0.31,1.02,98.68,104.05,24.86,1.84,4.7,0.03,3614.23
43443,3614.23,95.14,0.31,1.02,97.42,109.62,25.95,2.03,4.86,0.03,3502.66
43444,3502.66,91.69,0.3,1.02,95.32,107.31,24.62,1.94,4.71,0.03,3424.59
43445,3424.59,88.95,0.3,1.01,90.24,102.07,23.8,1.85,4.94,0.03,3486.95
43446,3486.95,90.59,0.31,1.01,88.84,102.59,24.49,1.98,5.02,0.03,3313.68
43447,3313.68,86.54,0.3,1,78.37,90.3,23.67,1.85,4.65,0.03,3242.48
43448,3242.48,84.31,0.29,1,70.27,80.37,23.46,1.83,4.53,0.03,3236.76
43449,3236.76,84.44,0.29,1,68.14,77.37,23.78,1.9,4.56,0.03,3252.84
43450,3252.84,85.26,0.29,1.01,77.34,81.64,25.6,1.92,4.65,0.03,3545.86
43451,3545.86,95.13,0.33,1.01,81.7,90.35,29.27,2.4,5.11,0.03,3696.06
43452,3696.06,101.11,0.35,1.01,84.61,105.2,30.14,2.64,5.6,0.03,3745.95
43453,3745.95,101.27,0.35,1.02,86.51,128.45,29.68,2.5,5.49,0.03,4134.44
43454,4134.44,116.22,0.38,1.02,112.03,194.23,32.82,2.75,5.79,0.04,3896.54
43455,3896.54,109.5,0.36,1.02,108.42,194.3,30.8,2.62,5.57,0.04,4014.18
43456,4014.18,116.76,0.36,1.02,109.09,196.67,31.86,2.62,5.93,0.04,3998.98
43457,3998.98,130.77,0.37,1.02,106.97,197.66,33.46,2.82,6.06,0.04,4078.6
43458,4078.6,140.24,0.41,1.02,102.46,182.26,33.2,2.79,6.14,0.05,3815.49
43459,3815.49,129.84,0.38,1.02,93.45,170.91,31.13,2.52,5.55,0.04,3857.3
43460,3857.3,131.87,0.38,1.02,94.51,175.51,30.99,2.6,5.71,0.04,3654.83
43461,3654.83,116.58,0.34,1.02,84.87,150.13,28.29,2.32,5.28,0.04,3923.92
43462,3923.92,137.65,0.38,1.02,93.64,174,32.51,2.65,6.01,0.04,3820.41
43463,3820.41,138.02,0.37,1.03,89.43,165.06,31.57,2.63,5.83,0.04,3865.95
43464,3865.95,139.86,0.37,1.02,88.56,163.62,31.98,2.68,6,0.04,3742.7
43465,3742.7,133.37,0.35,1.01,84.96,151.05,30.47,2.57,6.16,0.04,3843.52
43466,3843.52,140.82,0.36,1.02,92.14,164.85,31.98,2.66,6.08,0.04,3943.41
43467,3943.41,155.05,0.38,1.02,94.88,171.83,33.43,2.89,6.19,0.05,3836.74
